64 64
51 43 22 47 49 0 2 16 7 44 27 26 53 37 42 3 41 1 36 55 28 23 45 33 63 18 30 31 38 14 34 21 6 59 62 5 50 58 29 39 52 15 46 12 8 48 57 9 13 11 60 25 19 40 20 17 61 54 32 24 35 4 56 10
28 16 29 55 23 52 48 25 34 49 53 51 37 2 59 17 60 57 38 31 9 1 12 44 33 50 20 62 24 26 0 42 56 47 21 4 3 30 14 19 43 18 41 13 32 5 63 22 10 40 58 7 8 15 54 11 61 46 36 39 45 27 35 6
61 39 62 56 18 4 23 7 29 30 8 42 45 3 53 57 0 26 54 36 47 13 11 2 33 43 28 41 24 31 6 15 5 49 25 22 58 19 21 35 50 27 1 34 14 20 32 59 12 17 37 63 52 51 46 38 55 10 40 48 44 16 9 60
57 18 31 30 55 59 34 44 56 14 25 41 0 43 29 20 1 54 46 10 8 48 51 40 35 63 26 62 22 9 39 27 45 15 23 16 13 47 6 12 58 19 4 49 50 7 24 2 21 17 60 28 33 42 36 5 52 3 38 53 32 61 37 11
2 41 44 60 46 40 45 26 38 4 52 22 49 51 28 62 18 56 48 8 7 17 35 23 24 55 20 27 57 15 10 25 36 50 13 11 61 6 19 39 63 42 1 33 0 37 9 54 16 59 43 34 30 47 53 31 21 14 3 12 58 32 29 5
4 56 18 61 45 36 32 49 55 33 23 16 5 14 60 34 31 7 43 46 62 48 42 47 28 40 6 54 24 51 53 30 1 20 58 50 10 9 19 37 25 26 57 22 29 59 17 12 27 38 52 15 13 63 8 21 41 2 44 3 35 0 39 11
4 5 60 31 43 62 42 28 6 24 53 1 58 10 19 25 57 29 17 27 52 13 8 41 44 35 39 56 61 36 49 33 16 14 34 7 46 48 47 40 54 51 30 20 50 9 37 26 22 59 12 38 15 63 21 2 3 0 11 18 45 32 55 23
17 51 56 2 59 28 12 26 61 13 55 21 60 34 41 54 53 15 19 57 4 16 37 48 1 0 3 52 43 24 14 6 33 31 8 11 63 58 23 49 22 45 32 62 50 5 38 46 39 36 7 29 35 18 42 27 9 10 30 47 25 44 40 20
52 34 18 1 62 19 55 31 33 32 25 39 36 15 5 35 57 22 11 7 44 60 23 63 48 6 50 51 0 59 3 30 17 40 8 53 45 16 28 47 27 13 54 9 38 49 43 58 4 10 42 14 2 12 37 61 56 26 29 20 24 41 46 21
13 44 2 45 42 23 16 57 49 60 29 18 35 5 47 9 11 0 27 41 32 6 52 51 15 62 4 28 3 26 61 17 53 48 7 58 25 43 55 56 63 39 59 46 31 21 24 30 12 20 54 1 14 40 8 37 33 10 19 34 38 36 22 50
34 6 28 16 46 1 13 14 21 60 17 4 52 42 45 51 33 41 12 22 35 61 29 58 54 31 40 55 59 57 43 8 2 23 3 63 44 37 15 7 18 50 39 56 26 5 30 32 0 48 62 53 27 10 9 36 20 25 49 24 47 19 38 11
24 52 12 43 25 17 51 63 19 62 48 26 44 10 21 15 30 39 45 14 49 37 47 9 33 28 61 1 55 59 13 18 56 6 53 36 34 54 27 3 5 4 60 11 8 50 40 7 29 57 46 42 16 32 58 35 20 41 22 23 0 31 38 2
