128 32
13 10 15 8 25 30 27 28 5 2 7 0 17 22 19 20 29 26 31 24 9 14 11 12 21 18 23 16 1 6 3 4
1 12 19 30 21 24 7 10 25 20 11 6 13 0 31 18 17 28 3 14 5 8 23 26 9 4 27 22 29 16 15 2
18 3 4 21 22 7 0 17 10 27 28 13 14 31 24 9 2 19 20 5 6 23 16 1 26 11 12 29 30 15 8 25
14 25 0 23 18 5 28 11 6 17 8 31 26 13 20 3 30 9 16 7 2 21 12 27 22 1 24 15 10 29 4 19
29 8 31 10 25 12 27 14 21 0 23 2 17 4 19 6 13 24 15 26 9 28 11 30 5 16 7 18 1 20 3 22
6 9 0 15 26 21 28 19 30 17 24 23 2 13 4 11 22 25 16 31 10 5 12 3 14 1 8 7 18 29 20 27
30 3 8 21 2 31 20 9 6 27 16 13 26 7 12 17 14 19 24 5 18 15 4 25 22 11 0 29 10 23 28 1
3 8 5 14 7 12 1 10 11 0 13 6 15 4 9 2 19 24 21 30 23 28 17 26 27 16 29 22 31 20 25 18
7 24 17 14 19 12 5 26 15 16 25 6 27 4 13 18 23 8 1 30 3 28 21 10 31 0 9 22 11 20 29 2
13 0 7 10 17 28 27 22 21 24 31 18 9 4 3 14 29 16 23 26 1 12 11 6 5 8 15 2 25 20 19 30
8 9 22 23 20 21 10 11 16 17 14 15 12 13 18 19 24 25 6 7 4 5 26 27 0 1 30 31 28 29 2 3
17 16 27 26 13 12 7 6 25 24 19 18 5 4 15 14 1 0 11 10 29 28 23 22 9 8 3 2 21 20 31 30
10 15 28 25 6 3 16 21 2 7 20 17 14 11 24 29 26 31 12 9 22 19 0 5 18 23 4 1 30 27 8 13
27 22 13 0 23 26 1 12 3 14 21 24 15 2 25 20 11 6 29 16 7 10 17 28 19 30 5 8 31 18 9 4
12 5 18 27 0 9 30 23 4 13 26 19 8 1 22 31 28 21 2 11 16 25 14 7 20 29 10 3 24 17 6 15
31 30 29 28 19 18 17 16 7 6 5 4 11 10 9 8 15 14 13 12 3 2 1 0 23 22 21 20 27 26 25 24
1 18 3 16 13 30 15 28 25 10 27 8 21 6 23 4 17 2 19 0 29 14 31 12 9 26 11 24 5 22 7 20
19 22 17 20 7 2 5 0 11 14 9 12 31 26 29 24 3 6 1 4 23 18 21 16 27 30 25 28 15 10 13 8
30 19 20 25 10 7 0 13 22 27 28 17 2 15 8 5 14 3 4 9 26 23 16 29 6 11 12 1 18 31 24 21
30 17 16 31 18 29 28 19 22 25 24 23 26 21 20 27 14 1 0 15 2 13 12 3 6 9 8 7 10 5 4 11
6 23 24 9 10 27 20 5 30 15 0 17 18 3 12 29 22 7 8 25 26 11 4 21 14 31 16 1 2 19 28 13
0 31 18 13 4 27 22 9 24 7 10 21 28 3 14 17 16 15 2 29 20 11 6 25 8 23 26 5 12 19 30 1
28 3 2 29 24 7 6 25 4 27 26 5 0 31 30 1 12 19 18 13 8 23 22 9 20 11 10 21 16 15 14 17
7 0 29 26 27 28 1 6 31 24 5 2 3 4 25 30 23 16 13 10 11 12 17 22 15 8 21 18 19 20 9 14
